GO term	GO size	Size pivot	GO name	CI quantile (GO)	CI quantile (17k random)	Number of random subsets
GO:1902187	15	16	negative regulation of viral release from host cell	0.447756607253	0.473431994362	14190
GO:0019915	20	16	lipid storage	0.214710884354	0.473431994362	14190
GO:0050901	17	16	leukocyte tethering or rolling	0.320710973725	0.473431994362	14190
GO:0070102	14	16	interleukin-6-mediated signaling pathway	0.503405221339	0.473431994362	14190
GO:0008610	12	16	lipid biosynthetic process	0.594722222222	0.473431994362	14190
GO:0048663	16	16	neuron fate commitment	0.391977480647	0.473431994362	14190
GO:0036109	13	16	alpha-linolenic acid metabolic process	0.516167664671	0.473431994362	14190
GO:0005513	12	16	detection of calcium ion	0.594722222222	0.473431994362	14190
GO:0004029	14	16	aldehyde dehydrogenase (NAD) activity	0.503405221339	0.473431994362	14190
GO:0002063	14	16	chondrocyte development	0.503405221339	0.473431994362	14190
GO:2000179	13	16	positive regulation of neural precursor cell proliferation	0.516167664671	0.473431994362	14190
GO:0050995	12	16	negative regulation of lipid catabolic process	0.594722222222	0.473431994362	14190
GO:0016581	15	16	NuRD complex	0.447756607253	0.473431994362	14190
GO:2000045	13	16	regulation of G1/S transition of mitotic cell cycle	0.516167664671	0.473431994362	14190
GO:0080182	15	16	histone H3-K4 trimethylation	0.447756607253	0.473431994362	14190
GO:0042573	12	16	retinoic acid metabolic process	0.594722222222	0.473431994362	14190
GO:0006750	15	16	glutathione biosynthetic process	0.447756607253	0.473431994362	14190
GO:0008444	1	1	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity	0.439368142263	0.475545996029	30220
GO:0004489	1	1	methylenetetrahydrofolate reductase (NAD(P)H) activity	0.439746500189	0.475843812045	30220
GO:0032127	1	1	dense core granule membrane	0.440314037079	0.476042356056	30220
GO:0006582	1	1	melanin metabolic process	0.441259931896	0.476307081403	30220
GO:0060435	1	1	bronchiole development	0.441922058267	0.476307081403	30220
GO:0001543	1	1	ovarian follicle rupture	0.444759742717	0.476737260093	30220
GO:0021685	1	1	cerebellar granular layer structural organization	0.442205826712	0.476737260093	30220
GO:0006174	1	1	dADP phosphorylation	0.443530079455	0.476737260093	30220
GO:2001251	1	1	negative regulation of chromosome organization	0.44494892168	0.47700198544	30220
GO:0070235	1	1	regulation of activation-induced cell death of T cells	0.445421869088	0.477200529451	30220
GO:0051908	1	1	double-stranded DNA 5'-3' exodeoxyribonuclease activity	0.445138100643	0.477200529451	30220
GO:0015378	1	1	sodium:chloride symporter activity	0.445705637533	0.477399073461	30220
GO:0005008	1	1	hepatocyte growth factor-activated receptor activity	0.445894816496	0.477531436135	30220
GO:0001992	1	1	regulation of systemic arterial blood pressure by vasopressin	0.446178584941	0.477796161482	30220
GO:0004496	1	1	mevalonate kinase activity	0.446462353386	0.47868960953	30220
GO:0033316	1	1	meiotic spindle assembly checkpoint	0.446746121831	0.47868960953	30220
GO:0004402	39	32	histone acetyltransferase activity	0.184397163121	0.478763127188	8570
GO:0031941	27	32	filamentous actin	0.477595628415	0.478763127188	8570
GO:0010923	43	32	negative regulation of phosphatase activity	0.141524105754	0.478763127188	8570
GO:0001707	28	32	mesoderm formation	0.46908315565	0.478763127188	8570
GO:0019838	24	32	growth factor binding	0.633086876155	0.478763127188	8570
GO:0033017	28	32	sarcoplasmic reticulum membrane	0.46908315565	0.478763127188	8570
GO:0022008	39	32	neurogenesis	0.184397163121	0.478763127188	8570
GO:0045875	1	1	negative regulation of sister chromatid cohesion	0.447124479758	0.479252150893	30220
GO:0044228	1	1	host cell surface	0.447597427166	0.479417604236	30220
GO:0031938	1	1	regulation of chromatin silencing at telomere	0.447597427166	0.479417604236	30220
GO:0070463	1	1	tubulin-dependent ATPase activity	0.448543321983	0.479516876241	30220
GO:0070892	1	1	lipoteichoic acid receptor activity	0.448164964056	0.479516876241	30220
GO:0004397	1	1	histidine ammonia-lyase activity	0.447975785093	0.479516876241	30220
GO:0045938	1	1	positive regulation of circadian sleep/wake cycle, sleep	0.448354143019	0.479516876241	30220
GO:0005334	1	1	norepinephrine:sodium symporter activity	0.450435111616	0.479616148246	30220
GO:0019376	1	1	galactolipid catabolic process	0.450435111616	0.479616148246	30220
GO:0030704	1	1	vitelline membrane formation	0.450435111616	0.479616148246	30220
GO:0005163	1	1	nerve growth factor receptor binding	0.450435111616	0.479616148246	30220
GO:0070169	1	1	positive regulation of biomineral tissue development	0.450435111616	0.479616148246	30220
GO:1902870	1	1	negative regulation of amacrine cell differentiation	0.450435111616	0.479616148246	30220
GO:0042268	1	1	regulation of cytolysis	0.450435111616	0.479616148246	30220
GO:0060538	1	1	skeletal muscle organ development	0.450435111616	0.479616148246	30220
GO:0014717	1	1	regulation of satellite cell activation involved in skeletal muscle regeneration	0.450435111616	0.479616148246	30220
GO:0098746	1	1	fast, calcium ion-dependent exocytosis of neurotransmitter	0.450435111616	0.479616148246	30220
GO:0003939	1	1	L-iditol 2-dehydrogenase activity	0.450435111616	0.479616148246	30220
GO:0003713	243	256	transcription coactivator activity	0.741935483871	0.480434782609	920
GO:0030424	242	256	axon	0.739130434783	0.480434782609	920
GO:0019221	274	256	cytokine-mediated signaling pathway	0.59756097561	0.480434782609	920
GO:0051082	109	128	unfolded protein binding	0.672995780591	0.482038834951	2060
GO:0006470	122	128	protein dephosphorylation	0.525821596244	0.482038834951	2060
GO:0005929	158	128	cilium	0.265432098765	0.482038834951	2060
GO:0050852	138	128	T cell receptor signaling pathway	0.392105263158	0.482038834951	2060
GO:0060244	4	4	negative regulation of cell proliferation involved in contact inhibition	0.433681893231	0.483175423486	34830
GO:0047237	3	4	glucuronylgalactosylproteoglycan 4-beta-N-acetylgalactosaminyltransferase activity	0.47615658363	0.483175423486	34830
GO:0004849	5	4	uridine kinase activity	0.289008212255	0.483175423486	34830
GO:0042406	4	4	extrinsic component of endoplasmic reticulum membrane	0.433681893231	0.483175423486	34830
GO:0015842	4	4	aminergic neurotransmitter loading into synaptic vesicle	0.433681893231	0.483175423486	34830
GO:0001652	5	4	granular component	0.289008212255	0.483175423486	34830
GO:0090292	3	4	nuclear matrix anchoring at nuclear membrane	0.47615658363	0.483175423486	34830
GO:0008310	5	4	single-stranded DNA 3'-5' exodeoxyribonuclease activity	0.289008212255	0.483175423486	34830
GO:0015184	4	4	L-cystine transmembrane transporter activity	0.433681893231	0.483175423486	34830
GO:0061309	3	4	cardiac neural crest cell development involved in outflow tract morphogenesis	0.47615658363	0.483175423486	34830
GO:0060491	3	4	regulation of cell projection assembly	0.47615658363	0.483175423486	34830
GO:1903347	4	4	negative regulation of bicellular tight junction assembly	0.433681893231	0.483175423486	34830
GO:2000105	4	4	positive regulation of DNA-dependent DNA replication	0.433681893231	0.483175423486	34830
GO:0051534	5	4	negative regulation of NFAT protein import into nucleus	0.289008212255	0.483175423486	34830
GO:0071598	3	4	neuronal ribonucleoprotein granule	0.47615658363	0.483175423486	34830
GO:0089700	3	4	protein kinase D signaling	0.47615658363	0.483175423486	34830
GO:0038092	5	4	nodal signaling pathway	0.289008212255	0.483175423486	34830
GO:0015183	4	4	L-aspartate transmembrane transporter activity	0.433681893231	0.483175423486	34830
GO:0006526	4	4	arginine biosynthetic process	0.433681893231	0.483175423486	34830
GO:1904058	5	4	positive regulation of sensory perception of pain	0.289008212255	0.483175423486	34830
GO:0006760	4	4	folic acid-containing compound metabolic process	0.433681893231	0.483175423486	34830
GO:0048476	5	4	Holliday junction resolvase complex	0.289008212255	0.483175423486	34830
GO:0032202	3	4	telomere assembly	0.47615658363	0.483175423486	34830
GO:0086080	4	4	protein binding involved in heterotypic cell-cell adhesion	0.433681893231	0.483175423486	34830
GO:0033353	4	4	S-adenosylmethionine cycle	0.433681893231	0.483175423486	34830
GO:0045200	3	4	establishment of neuroblast polarity	0.47615658363	0.483175423486	34830
GO:1902513	4	4	regulation of organelle transport along microtubule	0.433681893231	0.483175423486	34830
GO:0004104	3	4	cholinesterase activity	0.47615658363	0.483175423486	34830
GO:0052812	3	4	phosphatidylinositol-3,4-bisphosphate 5-kinase activity	0.47615658363	0.483175423486	34830
GO:0021545	3	4	cranial nerve development	0.47615658363	0.483175423486	34830
GO:0004045	4	4	aminoacyl-tRNA hydrolase activity	0.433681893231	0.483175423486	34830
GO:0019346	4	4	transsulfuration	0.433681893231	0.483175423486	34830
GO:0061574	3	4	ASAP complex	0.47615658363	0.483175423486	34830
GO:1900452	3	4	regulation of long term synaptic depression	0.47615658363	0.483175423486	34830
GO:0071001	3	4	U4/U6 snRNP	0.47615658363	0.483175423486	34830
GO:0016321	3	4	female meiosis chromosome segregation	0.47615658363	0.483175423486	34830
GO:1990131	4	4	Gtr1-Gtr2 GTPase complex	0.433681893231	0.483175423486	34830
GO:0042272	3	4	nuclear RNA export factor complex	0.47615658363	0.483175423486	34830
GO:0048515	5	4	spermatid differentiation	0.289008212255	0.483175423486	34830
GO:0000727	5	4	double-strand break repair via break-induced replication	0.289008212255	0.483175423486	34830
GO:0039689	3	4	negative stranded viral RNA replication	0.47615658363	0.483175423486	34830
GO:1903593	3	4	regulation of histamine secretion by mast cell	0.47615658363	0.483175423486	34830
GO:0045843	5	4	negative regulation of striated muscle tissue development	0.289008212255	0.483175423486	34830
GO:0006670	3	4	sphingosine metabolic process	0.47615658363	0.483175423486	34830
GO:0031094	3	4	platelet dense tubular network	0.47615658363	0.483175423486	34830
GO:0003872	3	4	6-phosphofructokinase activity	0.47615658363	0.483175423486	34830
GO:0044216	3	4	other organism cell	0.47615658363	0.483175423486	34830
GO:0009582	4	4	detection of abiotic stimulus	0.433681893231	0.483175423486	34830
GO:0086007	4	4	voltage-gated calcium channel activity involved in cardiac muscle cell action potential	0.433681893231	0.483175423486	34830
GO:0001887	4	4	selenium compound metabolic process	0.433681893231	0.483175423486	34830
GO:0034638	5	4	phosphatidylcholine catabolic process	0.289008212255	0.483175423486	34830
GO:0048570	4	4	notochord morphogenesis	0.433681893231	0.483175423486	34830
GO:2000320	5	4	negative regulation of T-helper 17 cell differentiation	0.289008212255	0.483175423486	34830
GO:0097177	3	4	mitochondrial ribosome binding	0.47615658363	0.483175423486	34830
GO:0002385	4	4	mucosal immune response	0.433681893231	0.483175423486	34830
GO:0005335	1	1	serotonin:sodium symporter activity	0.452705259175	0.483421575116	30220
GO:0071908	1	1	determination of intestine left/right asymmetry	0.455164585698	0.48355393779	30220
GO:2000515	1	1	negative regulation of CD4-positive, alpha-beta T cell activation	0.455164585698	0.48355393779	30220
GO:0004363	1	1	glutathione synthase activity	0.455164585698	0.48355393779	30220
GO:0009452	1	1	7-methylguanosine RNA capping	0.455164585698	0.48355393779	30220
GO:0004378	1	1	GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity	0.455164585698	0.48355393779	30220
GO:0047545	1	1	2-hydroxyglutarate dehydrogenase activity	0.455164585698	0.48355393779	30220
GO:1904992	1	1	positive regulation of adenylate cyclase-inhibiting dopamine receptor signaling pathway	0.455164585698	0.48355393779	30220
GO:1905537	1	1	positive regulation of eukaryotic translation initiation factor 4F complex assembly	0.455164585698	0.48355393779	30220
GO:0046546	1	1	development of primary male sexual characteristics	0.455164585698	0.48355393779	30220
GO:0046390	1	1	ribose phosphate biosynthetic process	0.455164585698	0.48355393779	30220
GO:0004595	1	1	pantetheine-phosphate adenylyltransferase activity	0.455164585698	0.48355393779	30220
GO:0002761	1	1	regulation of myeloid leukocyte differentiation	0.455164585698	0.48355393779	30220
GO:0007030	76	64	Golgi organization	0.240147783251	0.483660130719	4590
GO:0016266	55	64	O-glycan processing	0.527272727273	0.483660130719	4590
GO:0075733	53	64	intracellular transport of virus	0.559891107078	0.483660130719	4590
GO:0030216	49	64	keratinocyte differentiation	0.645867098865	0.483660130719	4590
GO:0045335	55	64	phagocytic vesicle	0.527272727273	0.483660130719	4590
GO:0060337	54	64	type I interferon signaling pathway	0.531135531136	0.483660130719	4590
GO:0004175	56	64	endopeptidase activity	0.503703703704	0.483660130719	4590
GO:0005507	52	64	copper ion binding	0.582892416226	0.483660130719	4590
GO:0008104	63	64	protein localization	0.394514767932	0.483660130719	4590
GO:0038158	2	2	granulocyte colony-stimulating factor signaling pathway	0.453724188791	0.486015721969	24170
GO:0030825	2	2	positive regulation of cGMP metabolic process	0.453724188791	0.486015721969	24170
GO:0051303	2	2	establishment of chromosome localization	0.453724188791	0.486015721969	24170
GO:0001536	2	2	radial spoke stalk	0.453724188791	0.486015721969	24170
GO:0032472	2	2	Golgi calcium ion transport	0.453724188791	0.486015721969	24170
GO:0070172	2	2	positive regulation of tooth mineralization	0.453724188791	0.486015721969	24170
GO:0022037	2	2	metencephalon development	0.453724188791	0.486015721969	24170
GO:1903051	2	2	negative regulation of proteolysis involved in cellular protein catabolic process	0.453724188791	0.486015721969	24170
GO:0045004	2	2	DNA replication proofreading	0.453724188791	0.486015721969	24170
GO:1905517	2	2	macrophage migration	0.453724188791	0.486015721969	24170
GO:0006808	2	2	regulation of nitrogen utilization	0.453724188791	0.486015721969	24170
GO:0042991	2	2	transcription factor import into nucleus	0.453724188791	0.486015721969	24170
GO:0032798	2	2	Swi5-Sfr1 complex	0.453724188791	0.486015721969	24170
GO:0031543	2	2	peptidyl-proline dioxygenase activity	0.453724188791	0.486015721969	24170
GO:0071048	2	2	nuclear retention of unspliced pre-mRNA at the site of transcription	0.453724188791	0.486015721969	24170
GO:0070672	2	2	response to interleukin-15	0.453724188791	0.486015721969	24170
GO:0009063	2	2	cellular amino acid catabolic process	0.453724188791	0.486015721969	24170
GO:0060279	2	2	positive regulation of ovulation	0.453724188791	0.486015721969	24170
GO:0032615	2	2	interleukin-12 production	0.453724188791	0.486015721969	24170
GO:0042978	2	2	ornithine decarboxylase activator activity	0.453724188791	0.486015721969	24170
GO:0010992	2	2	ubiquitin recycling	0.453724188791	0.486015721969	24170
GO:0043159	2	2	acrosomal matrix	0.453724188791	0.486015721969	24170
GO:2000974	2	2	negative regulation of pro-B cell differentiation	0.453724188791	0.486015721969	24170
GO:0021873	2	2	forebrain neuroblast division	0.453724188791	0.486015721969	24170
GO:0019413	2	2	acetate biosynthetic process	0.453724188791	0.486015721969	24170
GO:0002133	2	2	polycystin complex	0.453724188791	0.486015721969	24170
GO:0006550	2	2	isoleucine catabolic process	0.453724188791	0.486015721969	24170
GO:0099590	2	2	neurotransmitter receptor internalization	0.453724188791	0.486015721969	24170
GO:0004335	2	2	galactokinase activity	0.453724188791	0.486015721969	24170
GO:0010698	2	2	acetyltransferase activator activity	0.453724188791	0.486015721969	24170
GO:0048619	2	2	embryonic hindgut morphogenesis	0.453724188791	0.486015721969	24170
GO:0061188	2	2	negative regulation of chromatin silencing at rDNA	0.453724188791	0.486015721969	24170
GO:0003955	2	2	NAD(P)H dehydrogenase (quinone) activity	0.453724188791	0.486015721969	24170
GO:0005607	2	2	laminin-2 complex	0.453724188791	0.486015721969	24170
GO:0060968	2	2	regulation of gene silencing	0.453724188791	0.486015721969	24170
GO:2000276	2	2	negative regulation of oxidative phosphorylation uncoupler activity	0.453724188791	0.486015721969	24170
GO:1905618	2	2	positive regulation of miRNA mediated inhibition of translation	0.453724188791	0.486015721969	24170
GO:1904713	2	2	beta-catenin destruction complex binding	0.453724188791	0.486015721969	24170
GO:1901255	2	2	nucleotide-excision repair involved in interstrand cross-link repair	0.453724188791	0.486015721969	24170
GO:0048340	2	2	paraxial mesoderm morphogenesis	0.453724188791	0.486015721969	24170
GO:0003366	2	2	cell-matrix adhesion involved in ameboidal cell migration	0.453724188791	0.486015721969	24170
GO:0035612	10	8	AP-2 adaptor complex binding	0.261550308008	0.487052673904	24870
GO:0008080	9	8	N-acetyltransferase activity	0.341822429907	0.487052673904	24870
GO:0070816	6	8	phosphorylation of RNA polymerase II C-terminal domain	0.586992543496	0.487052673904	24870
GO:0006544	6	8	glycine metabolic process	0.586992543496	0.487052673904	24870
GO:0005113	8	8	patched binding	0.430588703262	0.487052673904	24870
GO:0035356	7	8	cellular triglyceride homeostasis	0.557235421166	0.487052673904	24870
GO:0034115	9	8	negative regulation of heterotypic cell-cell adhesion	0.341822429907	0.487052673904	24870
GO:0090527	6	8	actin filament reorganization	0.586992543496	0.487052673904	24870
GO:0050702	8	8	interleukin-1 beta secretion	0.430588703262	0.487052673904	24870
GO:0048245	8	8	eosinophil chemotaxis	0.430588703262	0.487052673904	24870
GO:0017145	6	8	stem cell division	0.586992543496	0.487052673904	24870
GO:0031584	6	8	activation of phospholipase D activity	0.586992543496	0.487052673904	24870
GO:0042775	8	8	mitochondrial ATP synthesis coupled electron transport	0.430588703262	0.487052673904	24870
GO:0048304	8	8	positive regulation of isotype switching to IgG isotypes	0.430588703262	0.487052673904	24870
GO:0048845	6	8	venous blood vessel morphogenesis	0.586992543496	0.487052673904	24870
GO:0014037	6	8	Schwann cell differentiation	0.586992543496	0.487052673904	24870
GO:1903361	7	8	protein localization to basolateral plasma membrane	0.557235421166	0.487052673904	24870
GO:0032933	6	8	SREBP signaling pathway	0.586992543496	0.487052673904	24870
GO:0043462	9	8	regulation of ATPase activity	0.341822429907	0.487052673904	24870
GO:0090303	11	8	positive regulation of wound healing	0.247156398104	0.487052673904	24870
GO:0004875	6	8	complement receptor activity	0.586992543496	0.487052673904	24870
GO:0000076	8	8	DNA replication checkpoint	0.430588703262	0.487052673904	24870
GO:0015939	8	8	pantothenate metabolic process	0.430588703262	0.487052673904	24870
GO:0048500	6	8	signal recognition particle	0.586992543496	0.487052673904	24870
GO:0009313	10	8	oligosaccharide catabolic process	0.261550308008	0.487052673904	24870
GO:0015824	6	8	proline transport	0.586992543496	0.487052673904	24870
GO:0042551	9	8	neuron maturation	0.341822429907	0.487052673904	24870
GO:0006688	7	8	glycosphingolipid biosynthetic process	0.557235421166	0.487052673904	24870
GO:0044770	7	8	cell cycle phase transition	0.557235421166	0.487052673904	24870
GO:0070734	6	8	histone H3-K27 methylation	0.586992543496	0.487052673904	24870
GO:0001833	10	8	inner cell mass cell proliferation	0.261550308008	0.487052673904	24870
GO:0070307	8	8	lens fiber cell development	0.430588703262	0.487052673904	24870
GO:0034755	6	8	iron ion transmembrane transport	0.586992543496	0.487052673904	24870
GO:0021680	9	8	cerebellar Purkinje cell layer development	0.341822429907	0.487052673904	24870
GO:0008406	9	8	gonad development	0.341822429907	0.487052673904	24870
GO:0048149	8	8	behavioral response to ethanol	0.430588703262	0.487052673904	24870
GO:0045661	6	8	regulation of myoblast differentiation	0.586992543496	0.487052673904	24870
GO:0006690	8	8	icosanoid metabolic process	0.430588703262	0.487052673904	24870
GO:0061485	1	1	memory T cell proliferation	0.457529322739	0.487359364659	30220
GO:1904268	1	1	positive regulation of Schwann cell chemotaxis	0.458096859629	0.487359364659	30220
GO:0009444	1	1	pyruvate oxidation	0.457529322739	0.487359364659	30220
GO:0005980	18	16	glycogen catabolic process	0.316138540899	0.487808315715	14190
GO:0010955	12	16	negative regulation of protein processing	0.607777777778	0.487808315715	14190
GO:0050482	19	16	arachidonic acid secretion	0.272653061224	0.487808315715	14190
GO:0044030	12	16	regulation of DNA methylation	0.607777777778	0.487808315715	14190
GO:0007213	13	16	G-protein coupled acetylcholine receptor signaling pathway	0.52754491018	0.487808315715	14190
GO:0017101	12	16	aminoacyl-tRNA synthetase multienzyme complex	0.607777777778	0.487808315715	14190
GO:0090051	15	16	negative regulation of cell migration involved in sprouting angiogenesis	0.459741856177	0.487808315715	14190
GO:0042311	19	16	vasodilation	0.272653061224	0.487808315715	14190
GO:0061045	12	16	negative regulation of wound healing	0.607777777778	0.487808315715	14190
GO:0001935	16	16	endothelial cell proliferation	0.402885292048	0.487808315715	14190
GO:0047617	14	16	acyl-CoA hydrolase activity	0.514755959137	0.487808315715	14190
GO:0030247	13	16	polysaccharide binding	0.52754491018	0.487808315715	14190
GO:0047536	1	1	2-aminoadipate transaminase activity	0.458380628074	0.488385175381	30220
GO:0030849	1	1	autosome	0.458569807037	0.488649900728	30220
GO:0106015	1	1	negative regulation of inflammatory response to wounding	0.458758986001	0.488980807412	30220
GO:0061048	1	1	negative regulation of branching involved in lung morphogenesis	0.459042754446	0.489510258107	30220
GO:0005133	1	1	interferon-gamma receptor binding	0.459610291336	0.489808074123	30220
GO:0021988	1	1	olfactory lobe development	0.459610291336	0.489808074123	30220
GO:0045988	1	1	negative regulation of striated muscle contraction	0.460272417707	0.490105890139	30220
GO:0072572	1	1	poly-ADP-D-ribose binding	0.460650775634	0.490238252813	30220
GO:0097376	1	1	interneuron axon guidance	0.460839954597	0.490469887492	30220
GO:1904631	1	1	response to glucoside	0.46102913356	0.490966247518	30220
GO:0010767	1	1	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	0.461218312524	0.491230972866	30220
GO:0015390	1	1	purine-specific nucleoside:sodium symporter activity	0.461691259932	0.491925876903	30220
GO:0034230	1	1	enkephalin processing	0.461691259932	0.491925876903	30220
GO:0086072	1	1	AV node cell-bundle of His cell adhesion involved in cell communication	0.462258796822	0.492058239576	30220
GO:0004623	28	32	phospholipase A2 activity	0.477611940299	0.492065344224	8570
GO:0008574	27	32	ATP-dependent microtubule motor activity, plus-end-directed	0.485245901639	0.492065344224	8570
GO:0043552	29	32	positive regulation of phosphatidylinositol 3-kinase activity	0.43539630836	0.492065344224	8570
GO:0008654	24	32	phospholipid biosynthetic process	0.640942698706	0.492065344224	8570
GO:0035097	23	32	histone methyltransferase complex	0.64853358562	0.492065344224	8570
GO:0016050	24	32	vesicle organization	0.640942698706	0.492065344224	8570
GO:0001662	30	32	behavioral fear response	0.403448275862	0.492065344224	8570
GO:0045933	1	1	positive regulation of muscle contraction	0.463961407491	0.493084050298	30220
GO:1900483	1	1	regulation of protein targeting to vacuolar membrane	0.463961407491	0.493084050298	30220
GO:0016972	1	1	thiol oxidase activity	0.463961407491	0.493084050298	30220
GO:0002566	1	1	somatic diversification of immune receptors via somatic mutation	0.463961407491	0.493084050298	30220
GO:0098957	1	1	anterograde axonal transport of mitochondrion	0.463961407491	0.493084050298	30220
GO:0018455	1	1	alcohol dehydrogenase [NAD(P)+] activity	0.463961407491	0.493084050298	30220
GO:0051733	1	1	polydeoxyribonucleotide kinase activity	0.463961407491	0.493084050298	30220
GO:0045990	1	1	carbon catabolite regulation of transcription	0.463961407491	0.493084050298	30220
GO:0050290	1	1	sphingomyelin phosphodiesterase D activity	0.463961407491	0.493084050298	30220
GO:0043739	1	1	G/U mismatch-specific uracil-DNA glycosylase activity	0.463961407491	0.493084050298	30220
GO:0010309	1	1	acireductone dioxygenase [iron(II)-requiring] activity	0.463961407491	0.493084050298	30220
GO:0034642	1	1	mitochondrion migration along actin filament	0.463961407491	0.493084050298	30220
GO:1990072	1	1	TRAPPIII protein complex	0.463961407491	0.493084050298	30220
GO:0071320	52	64	cellular response to cAMP	0.597883597884	0.493246187364	4590
GO:0006302	54	64	double-strand break repair	0.547619047619	0.493246187364	4590
GO:0005604	71	64	basement membrane	0.312646370023	0.493246187364	4590
GO:0031124	55	64	mRNA 3'-end processing	0.543636363636	0.493246187364	4590
GO:0017124	122	128	SH3 domain binding	0.539906103286	0.494174757282	2060
GO:0018117	1	1	protein adenylylation	0.465853197124	0.498610191926	30220
GO:0016579	248	256	protein deubiquitination	0.720430107527	0.498913043478	920
GO:0071105	1	1	response to interleukin-11	0.466326144533	0.499139642621	30220
GO:0031764	1	1	type 1 galanin receptor binding	0.466988270904	0.499172733289	30220
GO:0000111	1	1	nucleotide-excision repair factor 2 complex	0.466515323496	0.499172733289	30220
GO:0004772	1	1	sterol O-acyltransferase activity	0.467555807794	0.499272005295	30220
GO:0035921	1	1	desmosome disassembly	0.467934165721	0.499636002647	30220
GO:0032692	3	4	negative regulation of interleukin-1 production	0.491814946619	0.500258397933	34830
GO:0003006	3	4	developmental process involved in reproduction	0.491814946619	0.500258397933	34830
GO:0010499	4	4	proteasomal ubiquitin-independent protein catabolic process	0.449367088608	0.500258397933	34830
GO:0051409	4	4	response to nitrosative stress	0.449367088608	0.500258397933	34830
GO:0001880	4	4	Mullerian duct regression	0.449367088608	0.500258397933	34830
GO:0042373	4	4	vitamin K metabolic process	0.449367088608	0.500258397933	34830
GO:0035509	5	4	negative regulation of myosin-light-chain-phosphatase activity	0.304011370815	0.500258397933	34830
GO:0001635	3	4	calcitonin gene-related peptide receptor activity	0.491814946619	0.500258397933	34830
GO:0060008	5	4	Sertoli cell differentiation	0.304011370815	0.500258397933	34830
GO:0034596	5	4	phosphatidylinositol phosphate 4-phosphatase activity	0.304011370815	0.500258397933	34830
GO:0000305	3	4	response to oxygen radical	0.491814946619	0.500258397933	34830
GO:0061156	5	4	pulmonary artery morphogenesis	0.304011370815	0.500258397933	34830
GO:0033260	4	4	nuclear DNA replication	0.449367088608	0.500258397933	34830
GO:2000301	3	4	negative regulation of synaptic vesicle exocytosis	0.491814946619	0.500258397933	34830
GO:0070278	3	4	extracellular matrix constituent secretion	0.491814946619	0.500258397933	34830
GO:0010829	3	4	negative regulation of glucose transport	0.491814946619	0.500258397933	34830
GO:0001826	4	4	inner cell mass cell differentiation	0.449367088608	0.500258397933	34830
GO:0021984	4	4	adenohypophysis development	0.449367088608	0.500258397933	34830
GO:0051138	4	4	positive regulation of NK T cell differentiation	0.449367088608	0.500258397933	34830
GO:0097427	5	4	microtubule bundle	0.304011370815	0.500258397933	34830
GO:0071284	4	4	cellular response to lead ion	0.449367088608	0.500258397933	34830
GO:0045964	4	4	positive regulation of dopamine metabolic process	0.449367088608	0.500258397933	34830
GO:0031401	4	4	positive regulation of protein modification process	0.449367088608	0.500258397933	34830
GO:0046833	4	4	positive regulation of RNA export from nucleus	0.449367088608	0.500258397933	34830
GO:0046425	4	4	regulation of JAK-STAT cascade	0.449367088608	0.500258397933	34830
GO:0030943	4	4	mitochondrion targeting sequence binding	0.449367088608	0.500258397933	34830
GO:0070315	3	4	G1 to G0 transition involved in cell differentiation	0.491814946619	0.500258397933	34830
GO:0032777	4	4	Piccolo NuA4 histone acetyltransferase complex	0.449367088608	0.500258397933	34830
GO:0042270	3	4	protection from natural killer cell mediated cytotoxicity	0.491814946619	0.500258397933	34830
GO:2001054	5	4	negative regulation of mesenchymal cell apoptotic process	0.304011370815	0.500258397933	34830
GO:0071672	4	4	negative regulation of smooth muscle cell chemotaxis	0.449367088608	0.500258397933	34830
GO:2000546	4	4	positive regulation of endothelial cell chemotaxis to fibroblast growth factor	0.449367088608	0.500258397933	34830
GO:0016971	3	4	flavin-linked sulfhydryl oxidase activity	0.491814946619	0.500258397933	34830
GO:0030856	5	4	regulation of epithelial cell differentiation	0.304011370815	0.500258397933	34830
GO:1901166	4	4	neural crest cell migration involved in autonomic nervous system development	0.449367088608	0.500258397933	34830
GO:0000064	4	4	L-ornithine transmembrane transporter activity	0.449367088608	0.500258397933	34830
GO:1990910	3	4	response to hypobaric hypoxia	0.491814946619	0.500258397933	34830
GO:0097441	5	4	basal dendrite	0.304011370815	0.500258397933	34830
GO:0070939	3	4	Dsl1/NZR complex	0.491814946619	0.500258397933	34830
GO:0097149	3	4	centralspindlin complex	0.491814946619	0.500258397933	34830
GO:0034421	3	4	post-translational protein acetylation	0.491814946619	0.500258397933	34830
GO:0030241	3	4	skeletal muscle myosin thick filament assembly	0.491814946619	0.500258397933	34830
GO:0046882	3	4	negative regulation of follicle-stimulating hormone secretion	0.491814946619	0.500258397933	34830
GO:0034201	3	4	response to oleic acid	0.491814946619	0.500258397933	34830
GO:0030369	3	4	ICAM-3 receptor activity	0.491814946619	0.500258397933	34830
GO:0004075	5	4	biotin carboxylase activity	0.304011370815	0.500258397933	34830
GO:1903025	3	4	regulation of RNA polymerase II regulatory region sequence-specific DNA binding	0.491814946619	0.500258397933	34830
