identifier	name	namespace	description	class
GO:0050857	positive regulation of antigen receptor-mediated signaling pathway	biological_process	Any process that activates or increases the frequency, rate or extent of signaling pathways initiated by the cross-linking of an antigen receptor on a B- or T cell.	GOTerm
GO:0050855	regulation of B cell receptor signaling pathway	biological_process	Any process that modulates the frequency, rate or extent of signaling pathways initiated by the cross-linking of an antigen receptor on a B cell.	GOTerm
GO:0050852	T cell receptor signaling pathway	biological_process	A series of molecular signals initiated by the cross-linking of an antigen receptor on a T cell.	GOTerm
GO:0050853	B cell receptor signaling pathway	biological_process	A series of molecular signals initiated by the cross-linking of an antigen receptor on a B cell.	GOTerm
GO:0048546	digestive tract morphogenesis	biological_process	The process in which the anatomical structures of the digestive tract are generated and organized. The digestive tract is the anatomical structure through which food passes and is processed.	GOTerm
GO:0048545	response to steroid hormone	biological_process	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a steroid hormone stimulus.	GOTerm
GO:0061507	cyclic-GMP-AMP binding	molecular_function	Interacting selectively and non-covalently with cyclic-GMP-AMP (cGAMP) cyclic nucleotide.	GOTerm
GO:0061501	cyclic-GMP-AMP synthase activity	molecular_function	Catalysis of the reaction: ATP + GTP = 2 diphosphate + cyclic GMP-AMP.	GOTerm
GO:0048549	positive regulation of pinocytosis	biological_process	Any process that activates, maintains or increases the rate of pinocytosis. Pinocytosis is the process in which cells take in liquid material from their external environment; literally 'cell drinking'. Liquid is enclosed in vesicles, formed by invagination of the plasma membrane. These vesicles then move into the cell and pass their contents to endosomes.	GOTerm
GO:0001894	tissue homeostasis	biological_process	A homeostatic process involved in the maintenance of an internal steady state within a defined tissue of an organism, including control of cellular proliferation and death and control of metabolic function.	GOTerm
GO:0047220	galactosylxylosylprotein 3-beta-galactosyltransferase activity	molecular_function	Catalysis of the reaction: 4-beta-D-galactosyl-O-beta-D-xylosylprotein + UDP-galactose = 3-beta-D-galactosyl-4-beta-D-galactosyl-O-beta-D-xylosylprotein + UDP.	GOTerm
GO:0050861	positive regulation of B cell receptor signaling pathway	biological_process	Any process that activates or increases the frequency, rate or extent of signaling pathways initiated by the cross-linking of an antigen receptor on a B cell.	GOTerm
GO:0001895	retina homeostasis	biological_process	A tissue homeostatic process involved in the maintenance of an internal equilibrium within the retina of the eye, including control of cellular proliferation and death and control of metabolic function.	GOTerm
GO:0048550	negative regulation of pinocytosis	biological_process	Any process that stops, prevents, or reduces the frequency, rate or extent of pinocytosis. Pinocytosis is the process in which cells take in liquid material from their external environment; literally 'cell drinking'. Liquid is enclosed in vesicles, formed by invagination of the plasma membrane. These vesicles then move into the cell and pass their contents to endosomes.	GOTerm
GO:0050862	positive regulation of T cell receptor signaling pathway	biological_process	Any process that activates or increases the frequency, rate or extent of signaling pathways initiated by the cross-linking of an antigen receptor on a T cell.	GOTerm
GO:0001896	autolysis	biological_process	A programmed cell death process observed in bacteria and filamentous fungi and leading to spontaneous death by lysis. Examples are lysis of the mother cell during sporulation of Bacillus subtilis and self-degradation of fungal cells in Aspergillus nidulans. Autolysis is also involved in bacterial biofilm formation.	GOTerm
GO:0050860	negative regulation of T cell receptor signaling pathway	biological_process	Any process that stops, prevents, or reduces the frequency, rate or extent of signaling pathways initiated by the cross-linking of an antigen receptor on a T cell.	GOTerm
GO:0061508	CDP phosphorylation	biological_process	The process of introducing a phosphate group into CDP to produce a CTP.	GOTerm
GO:0047223	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity	molecular_function	Catalysis of the reaction: beta-D-galactosyl-1,3-(N-acetyl-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-R + UDP-N-acetyl-D-glucosamine = N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-R + UDP.	GOTerm
GO:0050869	negative regulation of B cell activation	biological_process	Any process that stops, prevents, or reduces the frequency, rate or extent of B cell activation.	GOTerm
GO:0050867	positive regulation of cell activation	biological_process	Any process that activates or increases the frequency, rate or extent of activation.	GOTerm
GO:0050868	negative regulation of T cell activation	biological_process	Any process that stops, prevents, or reduces the frequency, rate or extent of T cell activation.	GOTerm
GO:0050865	regulation of cell activation	biological_process	Any process that modulates the frequency, rate or extent of cell activation, the change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand.	GOTerm
GO:0050863	regulation of T cell activation	biological_process	Any process that modulates the frequency, rate or extent of T cell activation.	GOTerm
GO:0050864	regulation of B cell activation	biological_process	Any process that modulates the frequency, rate or extent of B cell activation.	GOTerm
GO:0035242	protein-arginine omega-N asymmetric methyltransferase activity	molecular_function	Catalysis of the addition of a second methyl group to methylated peptidyl-arginine. Methylation is on the same terminal nitrogen (omega nitrogen) residue that was previously methylated, resulting in asymmetrical peptidyl-N(omega),N(omega)-dimethylated arginine residues.	GOTerm
GO:0035243	protein-arginine omega-N symmetric methyltransferase activity	molecular_function	Catalysis of the addition of a second methyl group to methylated peptidyl-arginine. Methylation is on the terminal nitrogen (omega nitrogen) residue that is not already methylated, resulting in symmetrical peptidyl-N(omega),N'(omega)-dimethyled arginine residues.	GOTerm
GO:0035240	dopamine binding	molecular_function	Interacting selectively and non-covalently with dopamine, a catecholamine neurotransmitter formed by aromatic-L-amino-acid decarboxylase from 3,4-dihydroxy-L-phenylalanine.	GOTerm
GO:0035241	protein-arginine omega-N monomethyltransferase activity	molecular_function	Catalysis of the addition of a methyl group to either of the unmethylated terminal nitrogen atoms (also called omega nitrogen) in peptidyl-arginine to form an omega-N-G-monomethylated arginine residue.  The reaction is S-adenosyl-L-methionine + [protein]-L-arginine = S-adenosyl-L-homocysteine + [protein]-Nomega-methyl-L-arginine.	GOTerm
GO:0035239	tube morphogenesis	biological_process	The process in which the anatomical structures of a tube are generated and organized. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system.	GOTerm
GO:0035235	ionotropic glutamate receptor signaling pathway	biological_process	A series of molecular signals initiated by glutamate binding to a glutamate receptor on the surface of the target cell, followed by the movement of ions through a channel in the receptor complex. Ends with regulation of a downstream cellular process, e.g. transcription.	GOTerm
GO:0035238	vitamin A biosynthetic process	biological_process	The chemical reactions and pathways resulting in the formation of any of the vitamin A compounds, retinol, retinal (retinaldehyde) and retinoic acid. Animals cannot synthesize vitamin A de novo, but form it through oxidative cleavage of carotenoids.	GOTerm
GO:0050809	diazepam binding	molecular_function	Interacting selectively and non-covalently with diazepam, one of the most widely used benzodiazepine drugs. It is used as an anti-anxiety-hypnotic agent and has the proprietary name Valium.	GOTerm
GO:0035234	ectopic germ cell programmed cell death	biological_process	Programmed cell death of an errant germ line cell that is outside the normal migratory path or ectopic to the gonad. This is an important mechanism of regulating germ cell survival within the embryo.	GOTerm
GO:0050807	regulation of synapse organization	biological_process	Any process that modulates the physical form of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell).	GOTerm
GO:0050808	synapse organization	biological_process	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell).	GOTerm
GO:0050805	negative regulation of synaptic transmission	biological_process	Any process that stops, prevents, or reduces the frequency, rate or extent of synaptic transmission, the process of communication from a neuron to a target (neuron, muscle, or secretory cell) across a synapse.	GOTerm
GO:0050806	positive regulation of synaptic transmission	biological_process	Any process that activates or increases the frequency, rate or extent of synaptic transmission, the process of communication from a neuron to a target (neuron, muscle, or secretory cell) across a synapse.	GOTerm
GO:0050803	regulation of synapse structure or activity	biological_process	Any process that modulates the physical form or the activity of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell).	GOTerm
GO:0050804	modulation of synaptic transmission	biological_process	Any process that modulates the frequency or amplitude of synaptic transmission, the process of communication from a neuron to a target (neuron, muscle, or secretory cell) across a synapse.  Amplitude, in this case, refers to the change in postsynaptic membrane potential due to a single instance of synaptic transmission.	GOTerm
GO:0035229	positive regulation of glutamate-cysteine ligase activity	biological_process	Any process that activates or increases the activity of glutamate-cysteine ligase, typically by lowering its sensitivity to inhibition by glutathione and by increasing its affinity for glutamate.	GOTerm
GO:0050801	ion homeostasis	biological_process	Any process involved in the maintenance of an internal steady state of ions within an organism or cell.	GOTerm
GO:0035226	glutamate-cysteine ligase catalytic subunit binding	molecular_function	Interacting selectively and non-covalently with the catalytic subunit of glutamate-cysteine ligase.	GOTerm
GO:0050819	negative regulation of coagulation	biological_process	Any process that stops, prevents, or reduces the frequency, rate or extent of coagulation.	GOTerm
GO:0050816	phosphothreonine binding	molecular_function	Interacting selectively and non-covalently with a phosphorylated threonine residue within a protein.	GOTerm
GO:0048500	signal recognition particle	cellular_component	A complex of protein and RNA which facilitates translocation of proteins across membranes.	GOTerm
GO:0050815	phosphoserine binding	molecular_function	Interacting selectively and non-covalently with a phosphorylated serine residue within a protein.	GOTerm
GO:0050812	regulation of acyl-CoA biosynthetic process	biological_process	Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of acyl-CoA.	GOTerm
GO:0050810	regulation of steroid biosynthetic process	biological_process	Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of steroids, compounds with a 1,2,cyclopentanoperhydrophenanthrene nucleus.	GOTerm
GO:0050811	GABA receptor binding	molecular_function	Interacting selectively and non-covalently with the gamma-aminobutyric acid (GABA, 4-aminobutyrate) receptor.	GOTerm
GO:0050829	defense response to Gram-negative bacterium	biological_process	Reactions triggered in response to the presence of a Gram-negative bacterium that act to protect the cell or organism.	GOTerm
GO:0048505	regulation of timing of cell differentiation	biological_process	The process controlling the activation and/or rate at which relatively unspecialized cells acquire specialized features. Any process that modulates the rate, frequency or extent of the XXX at a consistent predetermined time point during its development.	GOTerm
GO:2000108	positive regulation of leukocyte apoptotic process	biological_process	Any process that activates or increases the frequency, rate or extent of leukocyte apoptotic process.	GOTerm
GO:2000107	negative regulation of leukocyte apoptotic process	biological_process	Any process that stops, prevents, or reduces the frequency, rate or extent of leukocyte apoptotic process.	GOTerm
GO:0048511	rhythmic process	biological_process	Any process pertinent to the generation and maintenance of rhythms in the physiology of an organism.	GOTerm
GO:0050821	protein stabilization	biological_process	Any process involved in maintaining the structure and integrity of a protein and preventing it from degradation or aggregation.	GOTerm
GO:2000105	positive regulation of DNA-dependent DNA replication	biological_process	Any process that activates or increases the frequency, rate or extent of DNA-dependent DNA replication.	GOTerm
GO:0050820	positive regulation of coagulation	biological_process	Any process that activates or increases the frequency, rate or extent of coagulation.	GOTerm
GO:0036250	peroxisome transport along microtubule	biological_process	The directed movement of a peroxisome along a microtubule, mediated by motor proteins.	GOTerm
GO:2000360	negative regulation of binding of sperm to zona pellucida	biological_process	Any process that stops, prevents or reduces the frequency, rate or extent of binding of sperm to the zona pellucida.	GOTerm
GO:0048239	negative regulation of DNA recombination at telomere	biological_process	Any process that stops, prevents, or reduces the frequency, rate or extent of genetic recombination within the telomere.	GOTerm
GO:0048237	rough endoplasmic reticulum lumen	cellular_component	The volume enclosed by the membranes of the rough endoplasmic reticulum.	GOTerm
GO:0048243	norepinephrine secretion	biological_process	The regulated release of norepinephrine by a cell. Norepinephrine is a catecholamine and it acts as a hormone and as a neurotransmitter of most of the sympathetic nervous system.	GOTerm
GO:0048242	epinephrine secretion	biological_process	The regulated release of epinephrine by a cell. Epinephrine is a catecholamine hormone secreted by the adrenal medulla and a neurotransmitter, released by certain neurons and active in the central nervous system.	GOTerm
GO:0051885	positive regulation of anagen	biological_process	Any process that activates or increases the frequency, rate or extent of anagen, the growth phase of the hair cycle.	GOTerm
GO:0048241	epinephrine transport	biological_process	The directed movement of epinephrine into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.	GOTerm
GO:0051882	mitochondrial depolarization	biological_process	The process in which the potential difference across the mitochondrial membrane is reduced from its steady state level.	GOTerm
GO:1902309	negative regulation of peptidyl-serine dephosphorylation	biological_process	Any process that stops, prevents or reduces the frequency, rate or extent of peptidyl-serine dephosphorylation.	GOTerm
GO:0048240	sperm capacitation	biological_process	A process required for sperm to reach fertilization competence. Sperm undergo an incompletely understood series of morphological and molecular maturational processes, termed capacitation, involving, among other processes, protein tyrosine phosphorylation and increased intracellular calcium.	GOTerm
GO:0048247	lymphocyte chemotaxis	biological_process	The directed movement of a lymphocyte in response to an external stimulus.	GOTerm
GO:0051880	G-quadruplex DNA binding	molecular_function	Interacting selectively and non-covalently with G-quadruplex DNA structures, in which groups of four guanines adopt a flat, cyclic Hoogsteen hydrogen-bonding arrangement known as a guanine tetrad. The stacking of guanine tetrads results in G-quadruplex DNA structures. G-quadruplex DNA can form under physiological conditions from some G-rich sequences, such as those found in telomeres, immunoglobulin switch regions, gene promoters, fragile X repeats, and the dimerization domain in the human immunodeficiency virus (HIV) genome.	GOTerm
GO:0048246	macrophage chemotaxis	biological_process	The movement of a macrophage in response to an external stimulus.	GOTerm
GO:0051881	regulation of mitochondrial membrane potential	biological_process	Any process that modulates the establishment or extent of the mitochondrial membrane potential, the electric potential existing across the mitochondrial membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane.	GOTerm
GO:0048245	eosinophil chemotaxis	biological_process	The movement of an eosinophil in response to an external stimulus.	GOTerm
GO:0048244	phytanoyl-CoA dioxygenase activity	molecular_function	Catalysis of the reaction: 2-oxoglutarate + O(2) + phytanoyl-CoA = 2-hydroxyphytanoyl-CoA + CO(2) + succinate.	GOTerm
GO:2000354	regulation of ovarian follicle development	biological_process	Any process that modulates the frequency, rate or extent of ovarian follicle development.	GOTerm
GO:2000353	positive regulation of endothelial cell apoptotic process	biological_process	Any process that activates or increases the frequency, rate or extent of endothelial cell apoptotic process.	GOTerm
GO:2000352	negative regulation of endothelial cell apoptotic process	biological_process	Any process that stops, prevents or reduces the frequency, rate or extent of endothelial cell apoptotic process.	GOTerm
GO:2000359	regulation of binding of sperm to zona pellucida	biological_process	Any process that modulates the frequency, rate or extent of binding of sperm to the zona pellucida.	GOTerm
GO:2000358	positive regulation of kidney smooth muscle cell differentiation	biological_process	Any process that activates or increases the frequency, rate or extent of kidney smooth muscle cell differentiation.	GOTerm
GO:2000357	negative regulation of kidney smooth muscle cell differentiation	biological_process	Any process that stops, prevents or reduces the frequency, rate or extent of kidney smooth muscle cell differentiation.	GOTerm
GO:0036245	cellular response to menadione	biological_process	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a menadione stimulus. Menadione (also called vitamin K3) is a naphthoquinone having a methyl substituent at the 2-position.	GOTerm
GO:0061202	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	cellular_component	The lipid bilayer surrounding a clathrin-sculpted gamma-aminobutyric acid transport vesicle.	GOTerm
GO:2000373	positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity	biological_process	Any process that activates or increases the frequency, rate or extent of DNA topoisomerase (ATP-hydrolyzing) activity.	GOTerm
GO:2000370	positive regulation of clathrin-dependent endocytosis	biological_process	Any process that activates or increases the frequency, rate or extent of clathrin-mediated endocytosis.	GOTerm
GO:0048248	CXCR3 chemokine receptor binding	molecular_function	Interacting selectively and non-covalently with a the CXCR3 chemokine receptor.	GOTerm
GO:0061205	paramesonephric duct development	biological_process	The process whose specific outcome is the progression of the paramesonephric duct over time, from its formation to the mature structure. Mullerian ducts (or paramesonephric ducts) are paired ducts of the embryo that run down the lateral sides of the urogenital ridge and terminate at the mullerian eminence in the primitive urogenital sinus. In the female, they will develop to form the fallopian tubes, uterus, cervix, and the upper portion of the vagina; in the male, they are lost. These ducts are made of tissue of mesodermal origin.	GOTerm
GO:0051895	negative regulation of focal adhesion assembly	biological_process	Any process that stops, prevents, or reduces the frequency, rate or extent of focal adhesion assembly, the establishment and maturation of focal adhesions.	GOTerm
GO:0051896	regulation of protein kinase B signaling	biological_process	Any process that modulates the frequency, rate or extent of protein kinase B signaling, a series of reactions mediated by the intracellular serine/threonine kinase protein kinase B.	GOTerm
GO:0051893	regulation of focal adhesion assembly	biological_process	Any process that modulates the frequency, rate or extent of focal adhesion formation, the establishment and maturation of focal adhesions.	GOTerm
GO:0048251	elastic fiber assembly	biological_process	Assembly of the extracellular matrix fibers that enables the matrix to recoil after transient stretching.	GOTerm
GO:0051894	positive regulation of focal adhesion assembly	biological_process	Any process that activates or increases the frequency, rate or extent of focal adhesion assembly, the establishment and maturation of focal adhesions.	GOTerm
GO:0050560	aspartate-tRNA(Asn) ligase activity	molecular_function	Catalysis of the reaction: tRNA(Asx) + L-aspartate + ATP = aspartyl-tRNA(Asx) + diphosphate + AMP.	GOTerm
GO:0051891	positive regulation of cardioblast differentiation	biological_process	Any process that activates or increases the frequency, rate or extent of cardioblast differentiation, the process in which a relatively unspecialized mesodermal cell acquires the specialized structural and/or functional features of a cardioblast. A cardioblast is a cardiac precursor cell. It is a cell that has been committed to a cardiac fate, but will undergo more cell division rather than terminally differentiating.	GOTerm
GO:0048257	3'-flap endonuclease activity	molecular_function	Catalysis of the cleavage of a 3' flap structure in DNA, but not other DNA structures; processes the 3' ends of Okazaki fragments in lagging strand DNA synthesis.	GOTerm
GO:0050561	glutamate-tRNA(Gln) ligase activity	molecular_function	Catalysis of the reaction: tRNA(Glx) + L-glutamate + ATP = glutamyl-tRNA(Glx) + diphosphate + AMP.	GOTerm
GO:0048256	flap endonuclease activity	molecular_function	Catalysis of the cleavage of a flap structure in DNA, but not other DNA structures; processes the ends of Okazaki fragments in lagging strand DNA synthesis.	GOTerm
GO:0048255	mRNA stabilization	biological_process	Prevention of degradation of mRNA molecules. In the absence of compensating changes in other processes, the slowing of mRNA degradation can result in an overall increase in the population of active mRNA molecules.	GOTerm
GO:0098506	polynucleotide 3' dephosphorylation	biological_process	The process of removing one or more phosphate groups from the 3' end of a polynucleotide.	GOTerm
GO:2000366	positive regulation of STAT protein import into nucleus	biological_process	Any process that activates or increases the frequency, rate or extent of STAT protein import into nucleus.	GOTerm
GO:2000363	positive regulation of prostaglandin-E synthase activity	biological_process	Any process that activates or increases the frequency, rate or extent of prostaglandin-E synthase activity.	GOTerm
GO:0051899	membrane depolarization	biological_process	The process in which membrane potential decreases with respect to its steady-state potential, usually from negative potential to a more positive potential. For example, the initial depolarization during the rising phase of an action potential is in the direction from the negative steady-state resting potential towards the positive membrane potential that will be the peak of the action potential.	GOTerm
GO:0048250	mitochondrial iron ion transport	biological_process	The directed movement of iron ions into, out of or within a mitochondrion.	GOTerm
GO:2000369	regulation of clathrin-dependent endocytosis	biological_process	Any process that modulates the frequency, rate or extent of clathrin-mediated endocytosis.	GOTerm
GO:0051897	positive regulation of protein kinase B signaling	biological_process	Any process that activates or increases the frequency, rate or extent of protein kinase B signaling, a series of reactions mediated by the intracellular serine/threonine kinase protein kinase B.	GOTerm
GO:2000368	positive regulation of acrosomal vesicle exocytosis	biological_process	Any process that activates or increases the frequency, rate or extent of acrosomal vesicle exocytosis.	GOTerm
GO:0050567	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	molecular_function	Catalysis of the reaction: L-glutamine + glutamyl-tRNA(Gln) + ATP = L-glutamate + glutaminyl-tRNA(Gln) + phosphate + ADP.	GOTerm
GO:0051898	negative regulation of protein kinase B signaling	biological_process	Any process that stops, prevents, or reduces the frequency, rate or extent of protein kinase B signaling, a series of reactions mediated by the intracellular serine/threonine kinase protein kinase B.	GOTerm
GO:2000384	negative regulation of ectoderm development	biological_process	Any process that stops, prevents or reduces the frequency, rate or extent of ectoderm development.	GOTerm
GO:2000382	positive regulation of mesoderm development	biological_process	Any process that activates or increases the frequency, rate or extent of mesoderm development.	GOTerm
GO:2000381	negative regulation of mesoderm development	biological_process	Any process that stops, prevents or reduces the frequency, rate or extent of mesoderm development.	GOTerm
GO:1902336	positive regulation of retinal ganglion cell axon guidance	biological_process	Any process that activates or increases the frequency, rate or extent of retinal ganglion cell axon guidance.	GOTerm
GO:0048259	regulation of receptor-mediated endocytosis	biological_process	Any process that modulates the frequency, rate or extent of receptor mediated endocytosis, the uptake of external materials by cells, utilizing receptors to ensure specificity of transport.	GOTerm
GO:0000279	M phase	biological_process	A cell cycle phase during which nuclear division occurs, and which is comprises the phases: prophase, metaphase, anaphase and telophase.	GOTerm
GO:0000278	mitotic cell cycle	biological_process	Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent.	GOSlimTerm
GO:0000287	magnesium ion binding	molecular_function	Interacting selectively and non-covalently with magnesium (Mg) ions.	GOTerm
GO:0048265	response to pain	biological_process	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a pain stimulus. Pain stimuli cause activation of nociceptors, peripheral receptors for pain, include receptors which are sensitive to painful mechanical stimuli, extreme heat or cold, and chemical stimuli.	GOTerm
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity	molecular_function	Catalysis of the reaction: a 1-phosphatidyl-1D-myo-inositol 3-phosphate + ATP = a 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate + ADP + 2 H(+).	GOTerm
GO:0048263	determination of dorsal identity	biological_process	Determination of the identity of part of an organism or organ where those parts are of the type that occur in the dorsal region. Identity is considered to be the aggregate of characteristics by which a structure is recognized.	GOTerm
GO:0048262	determination of dorsal/ventral asymmetry	biological_process	Determination of asymmetry from the dorsal to the ventral side; as, the dorsoventral axis.	GOTerm
GO:0048269	methionine adenosyltransferase complex	cellular_component	A multimeric enzyme complex composed of variable numbers of catalytic alpha subunits, and noncatalytic beta subunits. The beta subunits are believed to have a regulatory function. The enzyme complex catalyzes the synthesis of S-adenosylmethionine (AdoMet), which is the major methyl group donor, participating in the methylation of proteins, DNA, RNA, phospholipids, and other small molecules.	GOTerm
GO:0050571	1,5-anhydro-D-fructose reductase activity	molecular_function	Catalysis of the reaction: 1,5-anhydro-D-glucitol + NADP(+) = 1,5-anhydro-D-fructose + H(+) + NADPH.	GOTerm
GO:0048268	clathrin coat assembly	biological_process	The process that results in the assembly of clathrin triskelia into the ordered structure known as a clathrin cage.	GOTerm
GO:0000281	mitotic cytokinesis	biological_process	A cell cycle process that results in the division of the cytoplasm of a cell after mitosis, resulting in the separation of the original cell into two daughter cells.	GOTerm
GO:0048266	behavioral response to pain	biological_process	Any process that results in a change in the behavior of an organism as a result of a pain stimulus. Pain stimuli cause activation of nociceptors, peripheral receptors for pain, include receptors which are sensitive to painful mechanical stimuli, extreme heat or cold, and chemical stimuli.	GOTerm
GO:2000377	regulation of reactive oxygen species metabolic process	biological_process	Any process that modulates the frequency, rate or extent of reactive oxygen species metabolic process.	GOTerm
GO:2000376	positive regulation of oxygen metabolic process	biological_process	Any process that activates or increases the frequency, rate or extent of oxygen metabolic process.	GOTerm
GO:0048261	negative regulation of receptor-mediated endocytosis	biological_process	Any process that stops, prevents, or reduces the frequency, rate or extent of receptor mediated endocytosis, the uptake of external materials by cells, utilizing receptors to ensure specificity of transport.	GOTerm
GO:0048260	positive regulation of receptor-mediated endocytosis	biological_process	Any process that activates or increases the frequency, rate or extent of receptor mediated endocytosis, the uptake of external materials by cells, utilizing receptors to ensure specificity of transport.	GOTerm
GO:2000379	positive regulation of reactive oxygen species metabolic process	biological_process	Any process that activates or increases the frequency, rate or extent of reactive oxygen species metabolic process.	GOTerm
GO:0050577	GDP-L-fucose synthase activity	molecular_function	Catalysis of the reaction: GDP-L-fucose + NAD+ = GDP-4-dehydro-6-deoxy-D-mannose + NADH + H+.	GOTerm
GO:2000378	negative regulation of reactive oxygen species metabolic process	biological_process	Any process that stops, prevents or reduces the frequency, rate or extent of reactive oxygen species metabolic process.	GOTerm
GO:2000391	positive regulation of neutrophil extravasation	biological_process	Any process that activates or increases the frequency, rate or extent of neutrophil extravasation.	GOTerm
GO:0036222	XTP diphosphatase activity	molecular_function	Catalysis of the reaction: XTP + H2O = xanthosine 5'-phosphate + diphosphate.	GOTerm
GO:2000393	negative regulation of lamellipodium morphogenesis	biological_process	Any process that stops, prevents or reduces the frequency, rate or extent of lamellipodium morphogenesis.	GOTerm
GO:0036220	ITP diphosphatase activity	molecular_function	Catalysis of the reaction: ITP + H2O = IMP + diphosphate.	GOTerm
GO:2000392	regulation of lamellipodium morphogenesis	biological_process	Any process that modulates the frequency, rate or extent of lamellipodium morphogenesis.	GOTerm
GO:1901017	negative regulation of potassium ion transmembrane transporter activity	biological_process	Any process that stops, prevents or reduces the frequency, rate or extent of potassium ion transmembrane transporter activity.	GOTerm
GO:1901016	regulation of potassium ion transmembrane transporter activity	biological_process	Any process that modulates the frequency, rate or extent of potassium ion transmembrane transporter activity.	GOTerm
GO:1901019	regulation of calcium ion transmembrane transporter activity	biological_process	Any process that modulates the frequency, rate or extent of calcium ion transmembrane transporter activity.	GOTerm
GO:1901018	positive regulation of potassium ion transmembrane transporter activity	biological_process	Any process that activates or increases the frequency, rate or extent of potassium ion transmembrane transporter activity.	GOTerm
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	biological_process	Shortening of the poly(A) tail of a nuclear-transcribed mRNA from full length to an oligo(A) length.	GOTerm
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	biological_process	A major pathway of degradation of nuclear-transcribed mRNAs that proceeds through a series of ordered steps that includes poly(A) tail shortening and that can regulate mRNA stability.	GOTerm
GO:0000296	spermine transport	biological_process	The directed movement of spermine, N,N-bis(3-aminopropyl)-1,4-diaminobutane, a polyamine formed by the transfer of a propylamine group from decarboxylated S-adenosylmethionine to spermidine, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.	GOTerm
GO:0048273	mitogen-activated protein kinase p38 binding	molecular_function	Interacting selectively and non-covalently with mitogen-activated protein kinase p38, an enzyme that catalyzes the transfer of phosphate from ATP to hydroxyl side chains on proteins in response to mitogen activation.	GOTerm
GO:0000293	ferric-chelate reductase activity	molecular_function	Catalysis of the reaction: 2 Fe2+ + NAD+ = 2 Fe3+ + NADH + H(+).	GOTerm
GO:0048278	vesicle docking	biological_process	The initial attachment of a transport vesicle membrane to the target membrane, mediated by proteins protruding from the membrane of the vesicle and the target membrane. Docking requires only that the two membranes come close enough for these proteins to interact and adhere.	GOTerm
GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic	biological_process	The chemical reactions and pathways resulting in the breakdown of the transcript body of a nuclear-transcribed mRNA that occurs when the ends are not protected by the 5'-cap or the 3'-poly(A) tail.	GOTerm
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	biological_process	Cleavage of the 5'-cap of a nuclear mRNA triggered by shortening of the poly(A) tail to below a minimum functional length.	GOTerm
GO:2000388	positive regulation of antral ovarian follicle growth	biological_process	Any process that activates or increases the frequency, rate or extent of antral ovarian follicle growth.	GOTerm
GO:2000386	positive regulation of ovarian follicle development	biological_process	Any process that activates or increases the frequency, rate or extent of ovarian follicle development.	GOTerm
GO:0048270	methionine adenosyltransferase regulator activity	molecular_function	Modulates the activity of methionine adenosyltransferase.	GOTerm
GO:0036294	cellular response to decreased oxygen levels	biological_process	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting a decline in the level of oxygen.	GOTerm
